SPECIES,Seq_ID
Klebsiella quasipneumoniae,GCF_020099175.1
Klebsiella quasipneumoniae,GCF_020115515.1
Klebsiella quasipneumoniae,GCF_020525685.1
Klebsiella quasipneumoniae,GCF_020525925.1
Legionella longbeachae,GCF_004283175.1
Legionella longbeachae,GCF_019930685.1
Enterobacter asburiae,GCF_001521715.1
Enterobacter asburiae,GCF_016027695.1
Campylobacter upsaliensis,GCF_000620965.1
Campylobacter upsaliensis,GCF_020297605.1
Campylobacter upsaliensis,GCF_900637395.1
Helicobacter pylori,GCF_000258845.1
Helicobacter pylori,GCF_003050665.1
Helicobacter pylori,GCF_004295525.1
Helicobacter pylori,GCF_014654435.1
Helicobacter pylori,GCF_900478295.1
Mycobacterium intracellulare,GCF_000172115.1
Mycobacterium intracellulare,GCF_000277125.1
Mycobacterium intracellulare,GCF_000418535.1
Mycobacterium intracellulare,GCF_001938095.1
Mycobacterium intracellulare,GCF_002101575.1
Mycobacterium intracellulare,GCF_002219285.1
Nocardia farcinica,GCF_001182745.1
Nocardia farcinica,GCF_001612925.1
Nocardia farcinica,GCF_900156775.1
Klebsiella michiganensis,GCF_002925905.1
Klebsiella michiganensis,GCF_009173485.1
Shigella dysenteriae,GCF_002949675.1
Shigella dysenteriae,GCF_900457215.1
Burkholderia cepacia,GCF_000473485.1
Burkholderia cepacia,GCF_001411495.1
Burkholderia cepacia,GCF_001528845.1
Burkholderia cepacia,GCF_003546465.1
Burkholderia cepacia,GCF_006094315.1
Burkholderia cepacia,GCF_900446175.1
Pseudomonas putida,GCF_000412675.1
Pseudomonas putida,GCF_013387005.1
Pseudomonas putida,GCF_900455645.1
Clostridium perfringens,GCF_000013285.1
Clostridium perfringens,GCF_016027375.1
Escherichia albertii,GCF_000759775.1
Escherichia albertii,GCF_022833075.1
Pseudomonas monteilii,GCF_000621245.1
Pseudomonas monteilii,GCF_000730605.1
Campylobacter lari,GCF_008245025.1
Campylobacter lari,GCF_008802005.1
Campylobacter lari,GCF_013372185.1
Campylobacter lari,GCF_016726265.1
Campylobacter lari,GCF_900111465.1
Campylobacter lari,GCF_900446615.1
Achromobacter xylosoxidans,GCF_001457475.1
Achromobacter xylosoxidans,GCF_001598595.1
Achromobacter xylosoxidans,GCF_013343135.1
Achromobacter xylosoxidans,GCF_022870085.1
Streptococcus pseudopneumoniae,GCF_000257825.1
Streptococcus pseudopneumoniae,GCF_002087075.1
Citrobacter farmeri,GCF_019048065.1
Pseudomonas otitidis,GCF_900111835.1
Yersinia frederiksenii,GCF_000168015.1
Yersinia frederiksenii,GCF_000754805.1
Yersinia frederiksenii,GCF_900460425.1
Abiotrophia defectiva,GCF_000160075.2
Abiotrophia defectiva,GCF_013267415.1
Staphylococcus saprophyticus,GCF_000010125.1
Staphylococcus saprophyticus,GCF_001997165.1
Staphylococcus saprophyticus,GCF_002902025.2
Staphylococcus saprophyticus,GCF_006094355.1
Staphylococcus saprophyticus,GCF_900458885.1
Enterobacter bugandensis,GCF_019046905.1
Enterobacter bugandensis,GCF_900324475.1
Acinetobacter nosocomialis,GCF_000368085.1
Acinetobacter nosocomialis,GCF_000836055.1
Burkholderia multivorans,GCF_000286555.1
Burkholderia multivorans,GCF_000959525.1
Burkholderia multivorans,GCF_900446205.1
Corynebacterium kroppenstedtii,GCF_000023145.1
Corynebacterium kroppenstedtii,GCF_016889365.1
Hafnia paralvei,GCF_001655005.1
Mycoplasma hominis,GCF_000085865.1
Streptococcus dysgalactiae,GCF_016724885.1
Streptococcus dysgalactiae,GCF_900459225.1
Moraxella osloensis,GCF_001553955.1
Moraxella osloensis,GCF_001679175.1
Moraxella osloensis,GCF_016028755.1
Moraxella osloensis,GCF_900453115.1
Mycobacterium avium,GCF_000174035.1
Mycobacterium avium,GCF_009741445.1
Providencia rettgeri,GCF_019048105.1
Acinetobacter pittii,GCF_000369045.1
Acinetobacter pittii,GCF_000836015.1
Acinetobacter pittii,GCF_019047205.1
Bacillus thuringiensis,GCF_000161615.1
Bacillus thuringiensis,GCF_002119445.1
